"No.","Receive Frequency","Transmit Frequency","Color Code","Slot","Name"
"109","434.66250","432.66250","4","Slot2","Vansbro 3"
"110","434.66250","432.66250","7","Slot2","Sodra_Vi 1 U"
"111","434.67500","432.67500","7","Slot2","Vastervik 2 U"
"112","434.67500","432.67500","11","Slot2","Vodskov"
"113","434.68750","432.68750","0","Slot2","Galo U"
"114","434.68750","432.68750","6","Slot2","Bengtsfors 2 U"
"115","434.68750","432.68750","11","Slot2","Aalborg 3 +"
"116","434.70000","434.70000","0","Slot2","Vangsasen"
"117","434.70000","432.70000","0","Slot2","Finspang 3"
"118","434.70000","432.70000","1","Slot2","Aamot"
"119","434.70000","432.70000","1","Slot2","Grimstad"
"120","434.70000","432.70000","3","Slot2","Gavle 1 U"
"121","434.70000","432.70000","7","Slot2","Vaxjo 2 U"
"122","434.70000","432.70000","14","Slot2","Gorlose"
"123","434.71250","432.71250","7","Slot2","Olofstrom 2 UI"
"124","434.71250","432.71250","11","Slot2","Frederikshavn"
"125","434.72500","432.72500","2","Slot2","Kalix-Vattentorn"
"126","434.72500","432.72500","4","Slot2","Orebro 2"
"127","434.73750","432.73750","0","Slot2","Taby 2 U"
"128","434.73750","432.73750","3","Slot2","Gavle 1"
"129","434.75000","432.75000","0","Slot2","Haugesund 1 U"
"130","434.75000","432.75000","1","Slot2","Narvik"
"131","434.75000","432.75000","1","Slot2","Oppegaard"
"132","434.75000","432.75000","1","Slot2","Mikkeli"
"133","434.75000","432.75000","2","Slot2","Kalix 3"
"134","434.76250","432.76250","0","Slot2","Upplands Vasby U"
"135","434.77500","432.77500","3","Slot2","Ornskoldsvik 4 U"
"136","434.77500","432.77500","6","Slot2","Uddevalla 2"
"137","434.77500","432.77500","7","Slot2","Malmo 2 U"
"138","434.78750","432.78750","0","Slot2","Sodertalje 3"
"139","434.78750","432.78750","0","Slot2","Rimbo U"
"140","434.78750","432.78750","6","Slot2","Guldheden 3 U"
"141","434.78750","432.78750","7","Slot2","Emmaboda 2"
"142","434.80000","432.80000","1","Slot2","Harstad"
"143","434.80000","432.80000","1","Slot2","Sandnessjoen"
"144","434.80000","432.80000","1","Slot2","Tromso"
"145","434.80000","432.80000","2","Slot2","Boden 2"
"146","434.80000","432.80000","4","Slot2","Karlskoga 2 U"
"147","434.82500","432.82500","1","Slot2","Mosjoen"
"148","434.82500","432.82500","6","Slot2","Floda 2"
"149","434.83750","432.83750","0","Slot2","Dalaro U"
"150","434.83750","432.83750","0","Slot2","Kongsberg 1 U"
"151","434.85000","432.85000","0","Slot2","Mo_i_Rana 1 U"
"152","434.85000","432.85000","1","Slot2","Mo i Rana"
"153","434.85000","432.85000","2","Slot2","Pitea 3"
"154","434.85000","432.85000","4","Slot2","Karlskoga 2"
"155","434.85000","432.85000","6","Slot2","Ockero 2 U"
"156","434.85000","432.85000","12","Slot2","Borlange 2"
"157","434.85000","432.85000","14","Slot2","Gilleleje"
"158","434.87500","432.87500","0","Slot2","Botkyrka 2 U"
"159","434.87500","432.87500","6","Slot2","Trollhattan 3"
"160","434.88750","432.88750","0","Slot2","Sigtuna U"
"161","434.88750","432.88750","6","Slot2","Dingle U"
"162","434.90000","432.90000","0","Slot2","Virrat U"
"163","434.90000","432.90000","1","Slot2","Follo"
"164","434.90000","432.90000","1","Slot2","Malmo 1"
"165","434.90000","432.90000","2","Slot2","Lulea 2"
"166","434.90000","432.90000","7","Slot2","Nassjo 4 U"
"167","434.91250","432.91250","0","Slot2","Arlanda U"
"168","434.91250","432.91250","7","Slot2","Hoor U"
"169","434.92500","432.92500","0","Slot2","Johanneshov U"
"170","434.92500","432.92500","0","Slot2","Halmstad 3 U"
"171","434.92500","432.92500","1","Slot2","Kolsas"
"172","434.92500","432.92500","7","Slot2","Aneby 3/Sjobo"
"173","434.92500","432.92500","7","Slot2","Sjobo U"
"174","434.93750","432.93750","5","Slot2","Sala 2"
"175","434.95000","432.95000","5","Slot2","Norrkoping 4"
"176","434.95000","432.95000","7","Slot2","Bjarnum/Lonsboda"
"177","434.96250","432.96250","0","Slot2","Stockholm"
"178","434.97500","432.97500","0","Slot2","Varmdo U"
"179","434.97500","432.97500","1","Slot2","Stavanger"
"180","434.97500","432.97500","2","Slot2","Vannas 3"
"181","434.97500","432.97500","7","Slot2","Jkp 3/O-ljunga"
"182","434.98750","432.98750","6","Slot2","Skara 3 U"
